Timestamp,Age Range,Gender Identity,Education level ,Employment Status,How important to you are your security practices for different purposes of your internet usage?  [Entertainment],How important to you are your security practices for different purposes of your internet usage?  [Social],How important to you are your security practices for different purposes of your internet usage?  [Games],How important to you are your security practices for different purposes of your internet usage?  [Banking],How important to you are your security practices for different purposes of your internet usage?  [Shopping],How important to you are your security practices for different purposes of your internet usage?  [Education ],How important to you are your security practices for different purposes of your internet usage?  [Information ],How important to you are your security practices for different purposes of your internet usage?  [Email],"On a scale from 1 to 10, rate your awareness of security practices:",Please rate your familiarity with various security practices: [Use a strong password],Please rate your familiarity with various security practices: [Log off public computers],Please rate your familiarity with various security practices: [Back up important information],Please rate your familiarity with various security practices: [Protect your personal data],"Please rate your familiarity with various security practices: [Avoid pop-ups, unknown emails, and links]",Please rate your familiarity with various security practices: [Connect to secure Wi-Fi],Please rate your familiarity with various security topics: [Ransomware],Please rate your familiarity with various security topics: [Credential Stuffing],Please rate your familiarity with various security topics: [Social engineering],Please rate your familiarity with various security topics: [Phishing],Please rate your familiarity with various security topics: [Man-in-the-middle attack],"If you were offered an online free course about cybersecurity and privacy, would you be interested in joining the course?","If you would be interested in joining a course about cybersecurity and privacy, how much time are you willing to allocate during a day?",Do you use the same password for most of your accounts?,Do you share some of your passwords with your friends or family members? ,"If the bank calls you and asks for your password as verification, would you give it to them?","If you got an email to update your log in information via a link, would you click the link?",Would you pay to retrieve your data if you are the victim of a ransomware attack? 
4/5/2022 17:41:15,21 - 29,Woman,Some college but no degree,Employed,Slightly,Very,Important,Very,Very,Very,Important,Fairly,8,Completely,Completely,Mostly,Completely,Completely,Mostly,Mostly,Somewhat,Completely,Completely,Mostly,Maybe,Between 10 and 30 minutes a day,Yes,No,No,No,No
4/5/2022 17:41:21,18 - 21,Woman,Some college but no degree,Employed,Important,Fairly,Fairly,Very,Fairly,Slightly,Slightly,Very,7,Completely,Completely,Mostly,A Little Bit,Mostly,A Little Bit,Mostly,Mostly,Mostly,Mostly,Mostly,Yes,Between 10 and 30 minutes a day,Yes,No,No,No,No
4/5/2022 17:41:50,21 - 29,Woman,Graduate degree,Employed,Very,Very,Slightly,Very,Fairly,Very,Very,Very,8,Mostly,Completely,Completely,Completely,Completely,Mostly,Completely,Completely,Completely,Completely,Completely,Yes,Between 10 and 30 minutes a day,Yes,Yes,No,No,No
4/5/2022 17:41:59,21 - 29,Woman,Graduate degree,Employed,Slightly,Very,Slightly,Very,Very,Fairly,Not at all,Very,8,Completely,Completely,Mostly,Mostly,Completely,Somewhat,Somewhat,A Little Bit,Mostly,Mostly,Mostly,Yes,Between 30 minutes and 1 hour a day,Yes,Yes,No,No,Maybe
4/5/2022 18:34:37,30 - 49,Woman,Bachelor degree,Employed,Fairly,Fairly,Slightly,Very,Very,Important,Important,Important,7,Completely,Completely,Mostly,Somewhat,Mostly,Mostly,Somewhat,Somewhat,Somewhat,Completely,A Little Bit,Maybe,Less than 10 minutes a day,Yes,Yes,No,No,Maybe
4/5/2022 18:41:44,30 - 49,Man,Graduate degree,Employed,Fairly,Very,Very,Very,Fairly,Very,Very,Very,8,Completely,Completely,Mostly,Mostly,Mostly,Somewhat,A Little Bit,Somewhat,Somewhat,Completely,Somewhat,Maybe,Less than 10 minutes a day,Yes,No,No,No,Maybe
4/5/2022 19:22:09,21 - 29,Man,Graduate degree,Employed,No Opinion,Very,No Opinion,Very,Very,Fairly,Very,Very,7,Completely,Completely,Completely,Completely,Completely,Completely,Mostly,Mostly,A Little Bit,Completely,A Little Bit,Maybe,Less than 10 minutes a day,No,No,No,No,No
4/6/2022 0:18:01,30 - 49,Woman,Graduate degree,Employed,Fairly,Very,Fairly,Very,Very,Fairly,Very,Very,6,Completely,Completely,Completely,Completely,Completely,Completely,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Maybe,Less than 10 minutes a day,Yes,No,No,No,No
4/6/2022 2:44:01,30 - 49,Woman,Bachelor degree,Employed,Important,Very,Important,Very,Very,Important,Fairly,Very,8,Mostly,Mostly,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Yes,Between 30 minutes and 1 hour a day,No,Yes,No,No,No
4/6/2022 3:02:20,21 - 29,Woman,Bachelor degree,Employed,Important,Important,Important,Very,Important,Very,Very,Very,7,Mostly,Completely,Mostly,Mostly,Completely,Completely,Somewhat,Somewhat,Mostly,Mostly,A Little Bit,Maybe,Between 10 and 30 minutes a day,No,No,No,Yes,No
4/6/2022 3:24:18,50 or older,Man,Bachelor degree,Retired,Very,Fairly,Fairly,Very,Very,Very,Very,Very,5,Completely,Completely,Completely,Completely,Mostly,Completely,A Little Bit,Somewhat,Somewhat,Somewhat,Somewhat,Yes,Between 30 minutes and 1 hour a day,No,No,No,No,Yes
4/6/2022 3:27:42,21 - 29,Woman,Bachelor degree,"Not employed, looking for work",Important,Important,Important,Important,Important,Important,Important,Important,9,Mostly,Somewhat,Mostly,Completely,Completely,Completely,Mostly,Mostly,Completely,Completely,Completely,Yes,Between 30 minutes and 1 hour a day,Yes,No,No,No,Maybe
4/6/2022 3:27:52,21 - 29,Woman,Bachelor degree,Employed,Very,Important,Very,Important,Important,Important,Important,Important,10,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Yes,Between 10 and 30 minutes a day,No,No,No,No,Maybe
4/6/2022 3:28:18,21 - 29,Man,Graduate degree,"Not employed, looking for work",Important,Important,Important,Important,Important,Important,Important,Important,10,Somewhat,Somewhat,Mostly,Mostly,Somewhat,Mostly,Completely,Completely,Completely,Completely,Completely,Maybe,Less than 10 minutes a day,Yes,No,No,No,Maybe
4/6/2022 3:29:44,21 - 29,Man,Bachelor degree,Employed,Fairly,Very,Slightly,Very,Very,Important,Slightly,Very,4,Somewhat,A Little Bit,Mostly,Somewhat,Somewhat,A Little Bit,A Little Bit,A Little Bit,Completely,Mostly,A Little Bit,Maybe,Between 10 and 30 minutes a day,Yes,Yes,No,No,Yes
4/6/2022 3:31:13,21 - 29,Man,Graduate degree,"Not employed, NOT looking for work",Fairly,Very,Fairly,Very,Not at all,Not at all,Very,Very,9,Completely,Completely,A Little Bit,Mostly,Completely,Somewhat,Mostly,Mostly,Completely,Completely,Mostly,Maybe,More than 1 hour a day,No,No,No,No,Maybe
4/6/2022 3:34:16,21 - 29,Woman,Some college but no degree,"Not employed, NOT looking for work",Slightly,Slightly,Not at all,Not at all,Important,Important,Important,Important,5,Completely,Completely,Completely,Completely,Completely,Completely,Somewhat,Completely,Mostly,Completely,Somewhat,No,,Yes,No,No,No,No
4/6/2022 3:46:33,30 - 49,Man,Graduate degree,Employed,Fairly,Important,Important,Important,Important,Important,Important,Important,7,Completely,Completely,Completely,Completely,Completely,Completely,A Little Bit,A Little Bit,Somewhat,A Little Bit,A Little Bit,Yes,Between 10 and 30 minutes a day,Yes,No,No,Yes,Maybe
4/6/2022 3:55:45,21 - 29,Man,Bachelor degree,Employed,Slightly,Important,Slightly,Slightly,Important,Important,Important,Important,6,Mostly,Mostly,A Little Bit,Mostly,Completely,Somewhat,Completely,Mostly,Completely,Mostly,Mostly,Yes,Between 10 and 30 minutes a day,Yes,No,No,No,Maybe
4/6/2022 4:03:51,21 - 29,Man,Bachelor degree,"Not employed, looking for work",Important,Important,Important,Important,Important,Important,Important,Important,7,Completely,Completely,Completely,Completely,Completely,Completely,Mostly,Mostly,Completely,Mostly,Somewhat,Yes,Between 10 and 30 minutes a day,No,No,No,No,No
4/6/2022 4:08:32,30 - 49,Woman,Graduate degree,Employed,Important,Important,Important,Important,Important,Important,Important,Important,10,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Yes,Between 30 minutes and 1 hour a day,No,No,No,No,No
4/6/2022 4:12:06,21 - 29,Man,Bachelor degree,"Not employed, looking for work",Slightly,Important,Slightly,Very,Important,Important,Important,Important,5,Mostly,Completely,Somewhat,Somewhat,Somewhat,Mostly,A Little Bit,A Little Bit,A Little Bit,Mostly,A Little Bit,No,,Yes,No,No,No,No
4/6/2022 4:12:13,21 - 29,Woman,Bachelor degree,Employed,Very,Very,Very,Very,Very,Very,Very,Very,10,Somewhat,Completely,Somewhat,Mostly,Mostly,Mostly,Completely,Completely,Completely,Completely,Completely,No,,Yes,Yes,No,No,Yes
4/6/2022 4:14:34,18 - 21,Woman,Some college but no degree,"Not employed, NOT looking for work",Important,Fairly,Important,Slightly,Important,Important,Fairly,Slightly,6,A Little Bit,Somewhat,Somewhat,Completely,Somewhat,Somewhat,Mostly,A Little Bit,Completely,Somewhat,Mostly,Maybe,Between 10 and 30 minutes a day,Yes,Yes,No,No,Maybe
4/6/2022 4:20:32,30 - 49,Woman,Graduate degree,Employed,Fairly,Very,No Opinion,Very,Very,Fairly,Important,Very,10,Completely,Completely,Completely,Completely,Completely,Completely,Completely,A Little Bit,Completely,Completely,Completely,Yes,Less than 10 minutes a day,No,No,No,No,Maybe
4/6/2022 4:21:43,21 - 29,Woman,Bachelor degree,Employed,Slightly,Important,Not at all,Very,Slightly,Very,Very,Very,7,Mostly,Somewhat,Mostly,Completely,A Little Bit,A Little Bit,A Little Bit,Somewhat,Mostly,Completely,Somewhat,Yes,Between 10 and 30 minutes a day,Yes,Yes,No,No,Maybe
4/6/2022 4:21:43,30 - 49,Woman,Graduate degree,Employed,Very,Very,Very,Very,Very,Very,Very,Very,6,Somewhat,Completely,Mostly,Mostly,Mostly,Mostly,Completely,Completely,Completely,Completely,Completely,Maybe,Between 30 minutes and 1 hour a day,No,No,No,No,No
4/6/2022 4:25:36,30 - 49,Woman,Graduate degree,"Not employed, NOT looking for work",Very,Very,Very,Very,Fairly,Important,Very,Very,5,Completely,Completely,Somewhat,Somewhat,Mostly,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Maybe,Between 10 and 30 minutes a day,Yes,Yes,No,No,Yes
4/6/2022 4:31:02,21 - 29,Man,Graduate degree,"Not employed, NOT looking for work",Important,Fairly,Slightly,Important,Slightly,Fairly,Important,Fairly,6,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Mostly,Somewhat,Mostly,A Little Bit,Yes,Between 10 and 30 minutes a day,Yes,No,No,Yes,Maybe
4/6/2022 5:04:49,30 - 49,Woman,Graduate degree,"Not employed, looking for work",Important,Important,Not at all,Fairly,Important,Important,Important,Important,7,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Completely,Maybe,Between 30 minutes and 1 hour a day,Yes,Yes,No,No,Maybe
4/6/2022 5:06:54,18 - 21,Woman,Some college but no degree,"Not employed, NOT looking for work",Important,Fairly,Slightly,Very,Very,Very,Slightly,Important,7,Mostly,Completely,Mostly,Somewhat,Mostly,Mostly,Mostly,Somewhat,Mostly,Completely,Somewhat,Yes,Between 10 and 30 minutes a day,Yes,Yes,No,No,Maybe
4/6/2022 5:33:22,21 - 29,Woman,Bachelor degree,"Not employed, looking for work",Important,Very,Slightly,Very,Very,Very,Very,Very,9,Completely,Completely,Mostly,Mostly,Completely,Completely,Completely,Somewhat,Completely,Completely,Completely,No,,No,No,No,No,Maybe
4/6/2022 6:05:58,50 or older,Man,High school degree or equivalent,Retired,Important,Important,Important,Important,Important,Important,Important,Important,7,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Yes,More than 1 hour a day,Yes,No,No,No,No
4/6/2022 6:42:19,21 - 29,Woman,Bachelor degree,Employed,Fairly,Very,Fairly,Very,Fairly,Fairly,Very,Very,9,Completely,Completely,Completely,Completely,Completely,Completely,A Little Bit,Completely,Completely,Completely,Completely,No,,No,No,No,No,Maybe
4/6/2022 6:44:25,21 - 29,Man,Some college but no degree,"Not employed, looking for work",Important,Important,Not at all,Slightly,Important,Important,Important,Important,6,Completely,Completely,Completely,Mostly,Mostly,Mostly,Mostly,Completely,Mostly,Mostly,Mostly,No,,Yes,Yes,No,No,No
4/6/2022 7:19:30,21 - 29,Man,Some college but no degree,"Not employed, looking for work",Important,Important,Important,Important,Important,Important,Important,Important,7,Completely,Completely,Somewhat,Completely,Completely,Completely,A Little Bit,A Little Bit,Mostly,A Little Bit,Somewhat,Yes,Between 30 minutes and 1 hour a day,No,No,No,No,Maybe
4/6/2022 7:46:08,21 - 29,Woman,Bachelor degree,Employed,Slightly,Important,Slightly,Important,Important,Important,Important,Important,6,Mostly,A Little Bit,Mostly,Mostly,Mostly,Mostly,A Little Bit,A Little Bit,A Little Bit,Mostly,A Little Bit,Maybe,Less than 10 minutes a day,Yes,Yes,No,No,No
4/6/2022 8:28:59,30 - 49,Man,Graduate degree,Employed,Important,Important,Important,Important,Important,Important,Important,Important,7,Completely,Mostly,Somewhat,Completely,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Yes,More than 1 hour a day,No,No,No,Yes,No
4/6/2022 8:43:14,30 - 49,Man,Graduate degree,Employed,Slightly,Very,Very,Very,Fairly,Fairly,Very,Very,8,Completely,Completely,Completely,Completely,Completely,Completely,A Little Bit,A Little Bit,A Little Bit,Somewhat,A Little Bit,Maybe,Between 10 and 30 minutes a day,No,No,No,No,Maybe
4/6/2022 9:17:29,30 - 49,Man,Graduate degree,Employed,Very,Very,Very,Very,Very,Very,Very,Very,6,Somewhat,Completely,Mostly,Mostly,Completely,Completely,A Little Bit,A Little Bit,A Little Bit,A Little Bit,A Little Bit,Maybe,Between 10 and 30 minutes a day,Yes,Yes,No,No,Maybe
